England	14.32689	120.97685
Lower City	41.92482	-73.27623
Scotland	41.69843	-72.08146
London	51.50853	-0.12574
Tuscany	28.334	-81.53525
Plymouth	41.67204	-73.05289
Dalkeith	55.89317	-3.06806
Cornwall	41.84371	-73.32928
Aberdeen	18.20508	-77.67932
Angus	42.73479	-76.97274
Dundee	18.23679	-77.88698
Stockholm	14.34789	120.94408
Poland	14.32581	120.9775
Regensburg	49.01315	12.1119
Lorraine	40.71398	-76.17911
Naples	14.32771	120.97567
Milan	41.29755	-82.60545
Catalonia	41.82046	1.86768
Rome	42.98029	-88.63121
France	52.3764	4.902
Spain	30.86464	-83.53794
Latere	2.81667	34.35
Venice	14.32641	120.97603
Istanbul	41.01384	28.94966
Paris	40.40368	-80.51257
Ferte	18.43333	-72.4
Roussillon Regional County Municipality	45.36678	-73.56588
Péronne	46.43865	4.81017
Falmouth	18.47821	-77.65167
Liverpool	38.89481	-81.53068
Aucilla (historical)	30.41687	-83.76655
Warwick	37.45904	-77.42276
Middleburg	39.59399	-77.21276
Marseilles	40.70144	-83.3927
New Haven	41.03172	-82.68157
St. Martin	44.16962	-66.13762
Bristol	41.67176	-72.94927
Lower City	41.92482	-73.27623
Cadiz	40.27285	-80.99676
Milford	40.56871	-75.09462
Amsterdam	14.3481	120.94402
Sweden	44.1334	-70.82257
Walnut Hill	43.82452	-70.24672
England	14.32689	120.97685
Hague	38.07235	-76.65107
Zealand Forest Camp	44.26451	-71.49508
Scotland	41.69843	-72.08146
City of London	51.51334	-0.08901
Temple Bar	38.24568	-76.42301
Whitehall	51.5042	-0.1264
Estampes	43.39424	0.27548
Chester	40.61312	-80.56285
Dublin	40.37177	-75.20156
Munster	41.56448	-87.51254
New Moatsville (historical)	39.2176	-79.93785
Burlington	41.76926	-72.96455
York	17.93333	-77.45
Portugal	-24.16667	29.25
West Indies	19.38333	-71.21667
Cowes	50.76306	-1.29772
Isle of Wight	50.67596	-1.2962
St Helens	50.69688	-1.11159
Biscayne	17.71702	-88.45723
Man of War	45.33345	-60.94851
Yarmouth	43.80064	-70.18672
Calice	46.86808	11.3638
Thames	51.52361	0.11856
Edinburgh	55.95206	-3.19648
Strathspey	6.76647	-58.02008
New England	39.20702	-81.70874
Gió	46.40174	8.91205
Saint-Eusèbe	46.71346	4.46203
Nahom Yahudi	31.8	47.15
Cornhill	51.51336	-0.08597
Hereford	38.81981	-81.61735
Wales	18.43109	-77.66742
Hertford	51.79588	-0.07854
England	14.32689	120.97685
Melrose	41.9376	-72.5212
Scotland	39.04066	-77.15915
London	-24.81927	31.04765
Scotland	39.04066	-77.15915
Dalkeith	55.89317	-3.06806
Blair Castle	56.76667	-3.85
Glen Lyon	41.17508	-76.07465
Edinburgh	-24.6774	31.22657
